iter	Passed	Remaining
0	0	126
1	0	111
2	1	105
3	1	101
4	1	96
5	1	96
6	2	95
7	2	95
8	2	94
9	3	94
10	3	93
11	3	93
12	4	93
13	4	96
14	5	111
15	6	109
16	6	108
17	6	107
18	7	106
19	7	104
20	7	104
21	8	103
22	8	102
23	8	101
24	9	101
25	9	100
26	9	100
27	10	99
28	11	108
29	12	108
30	12	107
31	12	106
32	13	105
33	13	104
34	13	103
35	14	103
36	14	102
37	14	101
38	15	101
39	15	100
40	15	99
41	16	99
42	17	104
43	17	103
44	18	103
45	18	103
46	19	103
47	19	102
48	19	101
49	20	100
50	20	100
51	20	100
52	21	99
53	21	99
54	22	98
55	22	98
56	22	97
57	23	96
58	23	95
59	23	95
60	24	94
61	25	97
62	25	96
63	26	96
64	26	96
65	26	95
66	27	94
67	27	94
68	27	93
69	28	93
70	28	92
71	29	92
72	29	91
73	29	91
74	30	90
75	30	89
76	30	89
77	31	88
78	31	88
79	32	88
80	32	87
81	32	87
82	33	86
83	34	88
84	34	87
85	34	86
86	35	86
87	35	85
88	35	85
89	36	84
90	36	84
91	37	84
92	37	83
93	37	83
94	38	82
95	38	82
96	38	81
97	39	81
98	39	80
99	40	80
100	41	81
101	41	80
102	41	80
103	42	79
104	42	79
105	42	78
106	43	78
107	43	77
108	44	77
109	44	76
110	44	76
111	45	75
112	45	75
113	45	74
114	46	74
115	46	73
116	46	73
117	47	73
118	47	72
119	48	72
120	48	71
121	48	70
122	48	70
123	49	69
124	49	69
125	50	69
126	50	68
127	51	68
128	51	68
129	51	67
130	52	67
131	52	66
132	52	66
133	53	65
134	53	65
135	53	64
136	54	64
137	54	63
138	54	63
139	55	63
140	55	62
141	55	62
142	56	61
143	56	61
144	56	60
145	57	60
146	57	59
147	57	59
148	58	58
149	58	58
150	58	58
151	60	58
152	60	57
153	60	57
154	61	57
155	61	56
156	61	56
157	62	55
158	62	55
159	62	54
160	63	54
161	63	54
162	63	53
163	64	53
164	64	52
165	64	52
166	65	51
167	65	51
168	65	51
169	66	50
170	66	50
171	66	49
172	67	49
173	67	48
174	67	48
175	68	48
176	68	47
177	69	47
178	69	46
179	70	47
180	71	46
181	71	46
182	71	45
183	72	45
184	72	45
185	72	44
186	73	44
187	73	43
188	73	43
189	74	42
190	74	42
191	74	42
192	75	41
193	75	41
194	75	40
195	76	40
196	76	40
197	77	39
198	77	39
199	77	38
200	78	38
201	78	38
202	78	37
203	79	37
204	79	36
205	80	36
206	80	36
207	80	35
208	81	35
209	81	34
210	81	34
211	82	34
212	82	33
213	83	33
214	83	32
215	83	32
216	84	32
217	84	31
218	85	31
219	85	31
220	85	30
221	86	30
222	86	29
223	86	29
224	87	29
225	87	28
226	87	28
227	88	27
228	88	27
229	88	27
230	89	26
231	89	26
232	89	25
233	90	25
234	90	25
235	90	24
236	91	24
237	91	23
238	92	23
239	93	23
240	93	22
241	93	22
242	94	22
243	94	21
244	94	21
245	95	20
246	95	20
247	95	20
248	96	19
249	96	19
250	97	18
251	97	18
252	97	18
253	98	17
254	98	17
255	98	17
256	99	16
257	99	16
258	100	15
259	100	15
260	100	15
261	101	14
262	101	14
263	102	13
264	102	13
265	102	13
266	103	12
267	103	12
268	103	11
269	104	11
270	104	11
271	104	10
272	105	10
273	105	10
274	106	9
275	106	9
276	106	8
277	107	8
278	107	8
279	107	7
280	108	7
281	108	6
282	108	6
283	109	6
284	109	5
285	109	5
286	110	4
287	110	4
288	110	4
289	111	3
290	111	3
291	111	3
292	112	2
293	112	2
294	112	1
295	113	1
296	113	1
297	113	0
298	114	0
299	114	0
