word,lemma,is_loanword,donor_language,donor_family,source_word,semantic_domain,confidence
компьютер,компьютер,1,English,Indo-European/Germanic,computer,technology,0.97
маркетинг,маркетинг,1,English,Indo-European/Germanic,marketing,business,0.95
менеджер,менеджер,1,English,Indo-European/Germanic,manager,business,0.95
офис,офис,1,English,Indo-European/Germanic,office,business,0.93
файл,файл,1,English,Indo-European/Germanic,file,technology,0.94
интернет,интернет,1,English,Indo-European/Germanic,internet,technology,0.96
принтер,принтер,1,English,Indo-European/Germanic,printer,technology,0.96
сканер,сканер,1,English,Indo-European/Germanic,scanner,technology,0.95
хакер,хакер,1,English,Indo-European/Germanic,hacker,technology,0.96
блог,блог,1,English,Indo-European/Germanic,blog,media,0.95
твит,твит,1,English,Indo-European/Germanic,tweet,media,0.97
лайк,лайк,1,English,Indo-European/Germanic,like,social,0.96
стартап,стартап,1,English,Indo-European/Germanic,startup,business,0.97
дедлайн,дедлайн,1,English,Indo-European/Germanic,deadline,business,0.96
шопинг,шопинг,1,English,Indo-European/Germanic,shopping,commerce,0.95
контент,контент,1,English,Indo-European/Germanic,content,media,0.94
дизайн,дизайн,1,English,Indo-European/Germanic,design,art,0.93
имидж,имидж,1,English,Indo-European/Germanic,image,media,0.90
лидер,лидер,1,English,Indo-European/Germanic,leader,politics,0.88
рейтинг,рейтинг,1,English,Indo-European/Germanic,rating,media,0.93
бренд,бренд,1,English,Indo-European/Germanic,brand,commerce,0.95
сервис,сервис,1,English,Indo-European/Germanic,service,business,0.90
бизнес,бизнес,1,English,Indo-European/Germanic,business,business,0.93
тест,тест,1,English,Indo-European/Germanic,test,science,0.87
стресс,стресс,1,English,Indo-European/Germanic,stress,psychology,0.93
спонсор,спонсор,1,English,Indo-European/Germanic,sponsor,media,0.90
инвестор,инвестор,1,English,Indo-European/Germanic,investor,finance,0.92
брифинг,брифинг,1,English,Indo-European/Germanic,briefing,politics,0.95
коучинг,коучинг,1,English,Indo-European/Germanic,coaching,education,0.97
мониторинг,мониторинг,1,English,Indo-European/Germanic,monitoring,science,0.95
аутсорсинг,аутсорсинг,1,English,Indo-European/Germanic,outsourcing,business,0.97
трейдер,трейдер,1,English,Indo-European/Germanic,trader,finance,0.95
брокер,брокер,1,English,Indo-European/Germanic,broker,finance,0.90
дивиденд,дивиденд,1,English,Indo-European/Germanic,dividend,finance,0.88
спорт,спорт,1,English,Indo-European/Germanic,sport,sport,0.90
футбол,футбол,1,English,Indo-European/Germanic,football,sport,0.96
баскетбол,баскетбол,1,English,Indo-European/Germanic,basketball,sport,0.97
хоккей,хоккей,1,English,Indo-European/Germanic,hockey,sport,0.96
теннис,теннис,1,English,Indo-European/Germanic,tennis,sport,0.95
финиш,финиш,1,English,Indo-European/Germanic,finish,sport,0.90
матч,матч,1,English,Indo-European/Germanic,match,sport,0.93
